"method","beta","lb","ub","tau","name","dithering"
"wild",-2.37687682518329e-16,-0.448155547370123,0.448155547370123,0.5,"arsenic.t1.res","No"
"pbs",-2.37687682518329e-16,-0.772730474976386,0.360934683352631,0.5,"arsenic.t1.res","No"
"bayes",-0.223000302420788,-0.551225966867852,0.0622425221132062,0.5,"arsenic.t1.res","No"
"bayes_adj_v2",-0.222938078790374,-0.814306454567272,0.368430296986525,0.5,"arsenic.t1.res","No"
"nid",-3.58889123328029e-16,-0.717508692346348,0.717508692346347,0.7,"arsenic.t1.res","No"
"riid",-3.58889123328029e-16,-0.949964005026142,-3.58889123327897e-16,0.7,"arsenic.t1.res","No"
"rnid",-3.58889123328029e-16,-0.95023266838944,-3.58889123327897e-16,0.7,"arsenic.t1.res","No"
"xy",-3.58889123328029e-16,-0.704382826398463,0.704382826398462,0.7,"arsenic.t1.res","No"
"wild",-3.58889123328029e-16,-0.437308558834728,0.437308558834727,0.7,"arsenic.t1.res","No"
"pbs",-3.58889123328029e-16,-0.958730833708667,0.427109390978933,0.7,"arsenic.t1.res","No"
"bayes",-0.251376261722933,-0.614696156404247,0.0559248936419851,0.7,"arsenic.t1.res","No"
"bayes_adj_v2",-0.251640639978762,-0.89084672540951,0.387565445451985,0.7,"arsenic.t1.res","No"
"nid",0.784516124485444,0.13964401868021,1.42938823029068,0.9,"arsenic.t1.res","No"
"riid",0.784516124485444,-0.75628593115324,1.28674551373807,0.9,"arsenic.t1.res","No"
"rnid",0.784516124485444,-0.908804878226066,1.53509103000146,0.9,"arsenic.t1.res","No"
"xy",0.784516124485444,-0.418244049462427,1.98727629843332,0.9,"arsenic.t1.res","No"
"wild",0.784516124485444,-0.0845143898258417,1.65354663879673,0.9,"arsenic.t1.res","No"
"pbs",0.784516124485444,-0.858346081024867,1.72839393604396,0.9,"arsenic.t1.res","No"
"bayes",0.6069164005939,0.01550175489566,1.13465222070271,0.9,"arsenic.t1.res","No"
"bayes_adj_v2",0.607761523690339,-0.559932174833507,1.77545522221419,0.9,"arsenic.t1.res","No"
"nid",0.312832114871518,-0.283987528811869,0.909651758554906,0.1,"lead.t1.res","No"
"riid",0.312832114871518,-0.95553992966183,1.44503866212473,0.1,"lead.t1.res","No"
"rnid",0.312832114871518,-0.958462234108318,1.49395520785861,0.1,"lead.t1.res","No"
"xy",0.312832114871518,-0.771728698704227,1.39739292844726,0.1,"lead.t1.res","No"
"wild",0.312832114871518,-0.564185135252809,1.18984936499585,0.1,"lead.t1.res","No"
"pbs",0.312832114871518,-0.539758779024657,1.51294159473206,0.1,"lead.t1.res","No"
"bayes",0.602718719050501,-0.0322222082974245,1.26147616353782,0.1,"lead.t1.res","No"
"bayes_adj_v2",0.603776090930066,-0.488560895279325,1.69611307713946,0.1,"lead.t1.res","No"
"nid",2.43102774235921e-15,-0.60078087149027,0.600780871490275,0.3,"lead.t1.res","No"
"riid",2.43102774235921e-15,-0.668156877818394,0.701449926459432,0.3,"lead.t1.res","No"
"rnid",2.43102774235921e-15,-0.668649865850045,0.701728024086469,0.3,"lead.t1.res","No"
"xy",2.43102774235921e-15,-0.654018685465383,0.654018685465388,0.3,"lead.t1.res","No"
"wild",2.43102774235921e-15,-0.538688008146748,0.538688008146753,0.3,"lead.t1.res","No"
"pbs",2.43102774235921e-15,-0.850735652047584,0.765970113937313,0.3,"lead.t1.res","No"
"bayes",0.0821129325110719,-0.320668905106221,0.482143831461803,0.3,"lead.t1.res","No"
"bayes_adj_v2",0.0818545255980329,-0.517767847275908,0.681476898471973,0.3,"lead.t1.res","No"
"nid",-1.47929144236687e-15,-0.784919843029699,0.784919843029696,0.5,"lead.t1.res","No"
"riid",-1.47929144236687e-15,-0.722577951104381,0.591393373370194,0.5,"lead.t1.res","No"
"rnid",-1.47929144236687e-15,-0.722617907613167,0.5914562236588,0.5,"lead.t1.res","No"
"xy",-1.47929144236687e-15,-0.692266123995325,0.692266123995322,0.5,"lead.t1.res","No"
"wild",-1.47929144236687e-15,-0.594681877429092,0.594681877429089,0.5,"lead.t1.res","No"
"pbs",-1.47929144236687e-15,-0.707329310474488,0.884899711484589,0.5,"lead.t1.res","No"
"bayes",-0.0531645420068724,-0.435277485656445,0.33966037596575,0.5,"lead.t1.res","No"
"bayes_adj_v2",-0.0531450202767033,-0.67624134517968,0.569951304626274,0.5,"lead.t1.res","No"
"nid",1.98189023376296e-15,-0.991519893571743,0.991519893571747,0.7,"lead.t1.res","No"
"riid",1.98189023376296e-15,-0.515419803373166,0.788448980301666,0.7,"lead.t1.res","No"
"rnid",1.98189023376296e-15,-0.515493696644655,0.788562710101358,0.7,"lead.t1.res","No"
"xy",1.98189023376296e-15,-0.816665957566955,0.816665957566959,0.7,"lead.t1.res","No"
"wild",1.98189023376296e-15,-0.67802050253251,0.678020502532514,0.7,"lead.t1.res","No"
"pbs",1.98189023376296e-15,-0.783923643478353,1.00806885732896,0.7,"lead.t1.res","No"
"bayes",0.0742986843803262,-0.32928142606262,0.507435494369819,0.7,"lead.t1.res","No"
"bayes_adj_v2",0.0757352235741735,-0.595100552702492,0.746570999850839,0.7,"lead.t1.res","No"
"nid",0.987989282363742,-0.181313090310929,2.15729165503841,0.9,"lead.t1.res","No"
"riid",0.987989282363742,-1.06325357296101,2.15111206938506,0.9,"lead.t1.res","No"
"rnid",0.987989282363742,-1.07356082166975,2.15597150323326,0.9,"lead.t1.res","No"
"xy",0.987989282363742,-0.80603496857054,2.78201353329802,0.9,"lead.t1.res","No"
"wild",0.987989282363742,-0.618025005704379,2.59400357043186,0.9,"lead.t1.res","No"
"pbs",0.987989282363742,-1.08225289387979,2.28747011656807,0.9,"lead.t1.res","No"
"bayes",1.04275505014762,0.133860429442094,1.87382170767424,0.9,"lead.t1.res","No"
"bayes_adj_v2",1.03955129213272,-0.968434135121432,3.04753671938687,0.9,"lead.t1.res","No"
"nid",5.78743508151373e-16,-0.364054787021072,0.364054787021073,0.1,"bbhc.t1.res","No"
"riid",5.78743508151373e-16,-0.22092699129415,0.427151110151686,0.1,"bbhc.t1.res","No"
"rnid",5.78743508151373e-16,-0.221414431413098,0.427347608499915,0.1,"bbhc.t1.res","No"
"xy",5.78743508151373e-16,-0.394684153089458,0.394684153089459,0.1,"bbhc.t1.res","No"
"wild",5.78743508151373e-16,-0.360323208572729,0.36032320857273,0.1,"bbhc.t1.res","No"
"pbs",5.78743508151373e-16,-0.434013407702311,0.409122566397136,0.1,"bbhc.t1.res","No"
"bayes",0.0762511680290345,-0.204589813356763,0.378749187633802,0.1,"bbhc.t1.res","No"
"bayes_adj_v2",0.0765629102808449,-0.320993685786738,0.474119506348428,0.1,"bbhc.t1.res","No"
"nid",-4.39984630682091e-15,-0.314870159982171,0.314870159982162,0.3,"bbhc.t1.res","No"
"riid",-4.39984630682091e-15,-0.602329910199805,0.096675972379355,0.3,"bbhc.t1.res","No"
"rnid",-4.39984630682091e-15,-0.602344823613885,0.0981321841708922,0.3,"bbhc.t1.res","No"
"xy",-4.39984630682091e-15,-0.373909695104718,0.373909695104709,0.3,"bbhc.t1.res","No"
"wild",-4.39984630682091e-15,-0.286560121732964,0.286560121732955,0.3,"bbhc.t1.res","No"
"pbs",-4.39984630682091e-15,-0.577114103636605,0.264471006078958,0.3,"bbhc.t1.res","No"
"bayes",-0.0771114248024465,-0.286586257926894,0.118557612574973,0.3,"bbhc.t1.res","No"
"bayes_adj_v2",-0.076927140832482,-0.361130112219888,0.207275830554924,0.3,"bbhc.t1.res","No"
"nid",-2.82204965078621e-15,-0.370272897156764,0.370272897156758,0.5,"bbhc.t1.res","No"
"riid",-2.82204965078621e-15,-0.474937571275993,0.468137255517444,0.5,"bbhc.t1.res","No"
"rnid",-2.82204965078621e-15,-0.474947485441775,0.468192560009614,0.5,"bbhc.t1.res","No"
"xy",-2.82204965078621e-15,-0.478451768540432,0.478451768540427,0.5,"bbhc.t1.res","No"
"wild",-2.82204965078621e-15,-0.504660167133891,0.504660167133885,0.5,"bbhc.t1.res","No"
"pbs",-2.82204965078621e-15,-0.552225656822118,0.441705913218348,0.5,"bbhc.t1.res","No"
"bayes",-0.101841119834156,-0.359584594961387,0.162631123417751,0.5,"bbhc.t1.res","No"
"bayes_adj_v2",-0.0999070764837979,-0.660033074634289,0.460218921666693,0.5,"bbhc.t1.res","No"
"nid",8.84818164973653e-16,-0.590654888145778,0.590654888145779,0.7,"bbhc.t1.res","No"
"riid",8.84818164973653e-16,-0.490747735626058,0.438942582746569,0.7,"bbhc.t1.res","No"
"rnid",8.84818164973653e-16,-0.490925065270835,0.439039614703398,0.7,"bbhc.t1.res","No"
"xy",8.84818164973653e-16,-0.558068180103969,0.558068180103971,0.7,"bbhc.t1.res","No"
"wild",8.84818164973653e-16,-0.448920266022709,0.44892026602271,0.7,"bbhc.t1.res","No"
"pbs",8.84818164973653e-16,-0.58937236526666,0.51228548071576,0.7,"bbhc.t1.res","No"
"bayes",0.0792654557653825,-0.191487224319774,0.35214261386828,0.7,"bbhc.t1.res","No"
"bayes_adj_v2",0.0799496672555851,-0.492849097171278,0.652748431682448,0.7,"bbhc.t1.res","No"
"nid",0.25791630642585,-0.238198776006094,0.754031388857793,0.9,"bbhc.t1.res","No"
"riid",0.25791630642585,-0.421426876093222,0.645673869188819,0.9,"bbhc.t1.res","No"
"rnid",0.25791630642585,-0.425804280890859,0.698643462320548,0.9,"bbhc.t1.res","No"
"xy",0.25791630642585,-0.271256418282956,0.787089031134656,0.9,"bbhc.t1.res","No"
"wild",0.25791630642585,-0.247885928174388,0.763718541026088,0.9,"bbhc.t1.res","No"
"pbs",0.25791630642585,-0.41512212713917,0.716839972864904,0.9,"bbhc.t1.res","No"
"bayes",0.270218383855118,-0.0385180467604028,0.573892126057674,0.9,"bbhc.t1.res","No"
"bayes_adj_v2",0.269200050651927,-0.193119839169271,0.731519940473126,0.9,"bbhc.t1.res","No"
"nid",5.19036670427657e-15,-0.366068612353718,0.366068612353729,0.1,"sum.pcb.t1.res","No"
"riid",5.19036670427657e-15,-0.181873806462692,1.08718788656236,0.1,"sum.pcb.t1.res","No"
"rnid",5.19036670427657e-15,-0.191573010563473,1.12796313812728,0.1,"sum.pcb.t1.res","No"
"xy",5.19036670427657e-15,-0.709602980238703,0.709602980238714,0.1,"sum.pcb.t1.res","No"
"wild",5.19036670427657e-15,-0.452193500964953,0.452193500964964,0.1,"sum.pcb.t1.res","No"
"pbs",5.19036670427657e-15,-0.212168396277137,1.05228381890065,0.1,"sum.pcb.t1.res","No"
"bayes",0.43098423054827,-0.0376734537775503,0.920411291082668,0.1,"sum.pcb.t1.res","No"
"bayes_adj_v2",0.43212129379987,-0.381503009240227,1.24574559683997,0.1,"sum.pcb.t1.res","No"
"nid",5.19547460801136e-15,-0.431203212751219,0.43120321275123,0.3,"sum.pcb.t1.res","No"
"riid",5.19547460801136e-15,5.19547460800868e-15,1.09817066458786,0.3,"sum.pcb.t1.res","No"
"rnid",5.19547460801136e-15,5.19547460800867e-15,1.10099692993931,0.3,"sum.pcb.t1.res","No"
"xy",5.19547460801136e-15,-0.593501963176182,0.593501963176192,0.3,"sum.pcb.t1.res","No"
"wild",5.19547460801136e-15,-0.412553157648832,0.412553157648843,0.3,"sum.pcb.t1.res","No"
"pbs",5.19547460801136e-15,-6.72289869818061e-15,0.993199112134322,0.3,"sum.pcb.t1.res","No"
"bayes",0.305305396051157,-0.0237565918935105,0.665914768980072,0.3,"sum.pcb.t1.res","No"
"bayes_adj_v2",0.306085064169039,-0.312886477653854,0.925056605991932,0.3,"sum.pcb.t1.res","No"
"nid",1.70993511825444e-15,-0.601355118636144,0.601355118636148,0.5,"sum.pcb.t1.res","No"
"riid",1.70993511825444e-15,-0.462823042986992,0.942931321114916,0.5,"sum.pcb.t1.res","No"
"rnid",1.70993511825444e-15,-0.462856210055997,0.943228381491142,0.5,"sum.pcb.t1.res","No"
"xy",1.70993511825444e-15,-0.68440706644206,0.684407066442063,0.5,"sum.pcb.t1.res","No"
"wild",1.70993511825444e-15,-0.643807549114219,0.643807549114222,0.5,"sum.pcb.t1.res","No"
"pbs",1.70993511825444e-15,-0.403732718431919,0.90899605618649,0.5,"sum.pcb.t1.res","No"
"bayes",0.322770703546781,-0.0542168658128587,0.687963500634395,0.5,"sum.pcb.t1.res","No"
"bayes_adj_v2",0.322302531205364,-0.488374908300669,1.1329799707114,0.5,"sum.pcb.t1.res","No"
"nid",4.75785367248374e-15,-0.737636368433793,0.737636368433803,0.7,"sum.pcb.t1.res","No"
"riid",4.75785367248374e-15,-0.404551570466169,0.972200689349853,0.7,"sum.pcb.t1.res","No"
"rnid",4.75785367248374e-15,-0.406072088136674,0.972210115044244,0.7,"sum.pcb.t1.res","No"
"xy",4.75785367248374e-15,-0.793347716111271,0.793347716111281,0.7,"sum.pcb.t1.res","No"
"wild",4.75785367248374e-15,-0.698097551977973,0.698097551977983,0.7,"sum.pcb.t1.res","No"
"pbs",4.75785367248374e-15,-0.660290616101093,0.970667319205133,0.7,"sum.pcb.t1.res","No"
"bayes",0.283438626984775,-0.113242763489758,0.670831338019119,0.7,"sum.pcb.t1.res","No"
"bayes_adj_v2",0.28341400053696,-0.540667966394297,1.10749596746822,0.7,"sum.pcb.t1.res","No"
"nid",-0.421856435087859,-1.32077633402494,0.477063463849222,0.9,"sum.pcb.t1.res","No"
"riid",-0.421856435087859,-1.02600658371674,0.795979683429718,0.9,"sum.pcb.t1.res","No"
"rnid",-0.421856435087859,-1.02609181871404,0.79601409945202,0.9,"sum.pcb.t1.res","No"
"xy",-0.421856435087859,-1.37972773560313,0.53601486542741,0.9,"sum.pcb.t1.res","No"
"wild",-0.421856435087859,-1.20244381871449,0.358730948538773,0.9,"sum.pcb.t1.res","No"
"pbs",-0.421856435087859,-1.17174498372982,0.742977619208858,0.9,"sum.pcb.t1.res","No"
"bayes",-0.08728439574295,-0.601962571780882,0.49004302543473,0.9,"sum.pcb.t1.res","No"
"bayes_adj_v2",-0.0857755270602861,-1.15032404252451,0.97877298840394,0.9,"sum.pcb.t1.res","No"
